date,action,ticker,type,exchange,wallet,quantity,price,currency,fees,fees_currency,notes
2024-01-01,DEPOSIT,USDT,,Binance,Binance Spot,50000,1,USDT,0,USDT,Initial USDT deposit
2024-01-01,DEPOSIT,USD,,Bank,Portfolio,10000,1,USD,0,USD,Initial fiat deposit
2024-01-02,BUY,BTC,,Binance,Binance Spot,0.5,42000,USDT,10,USDT,First BTC purchase
2024-01-03,BUY,ETH,,Binance,Binance Spot,5,2500,USDT,12.5,USDT,ETH accumulation
2024-01-04,BUY,SOL,,Binance,Binance Spot,50,95,USDT,4.75,USDT,SOL entry
2024-01-05,BUY,ADA,,Binance,Binance Spot,1000,0.5,USDT,0.5,USDT,ADA purchase
2024-01-06,SELL,SOL,,Binance,Binance Spot,20,102,USDT,2.04,USDT,Partial SOL profit
2024-01-07,BUY,MATIC,,Binance,Binance Spot,500,0.85,USDT,0.42,USDT,MATIC accumulation
2024-01-08,WITHDRAWAL,USDT,,Binance,Binance Spot,5000,1,USDT,5,USDT,Move USDT to cold storage
2024-01-09,DEPOSIT,USDT,,Binance,Binance Spot,5000,1,USDT,0,USDT,Return from cold storage
2024-01-10,SELL,ETH,,Binance,Binance Spot,2,2650,USDT,5.3,USDT,Partial ETH profit
2024-01-11,BUY,BNB,,Binance,Binance Spot,10,310,USDT,3.1,USDT,BNB for fees
2024-01-12,AIRDROP,ARB,,Binance,Binance Spot,100,1.2,USDT,0,USDT,ARB airdrop received
2024-01-13,BUY,DOGE,,Binance,Binance Spot,5000,0.08,USDT,0.4,USDT,DOGE speculation
2024-01-14,SELL,DOGE,,Binance,Binance Spot,5000,0.085,USDT,0.42,USDT,DOGE quick profit
2024-01-15,BUY,LINK,,Binance,Binance Spot,50,14.5,USDT,0.72,USDT,LINK position
2024-01-16,SELL,ADA,,Binance,Binance Spot,300,0.55,USDT,0.16,USDT,Partial ADA sell
2024-01-17,BUY,AVAX,,Binance,Binance Spot,20,35,USDT,0.7,USDT,AVAX entry
2024-01-18,WITHDRAWAL,BTC,,Binance,Binance Spot,0.2,42000,USDT,0.0001,BTC,Move BTC to hardware wallet
2024-01-19,SELL,BNB,,Binance,Binance Spot,5,320,USDT,1.6,USDT,Partial BNB profit
2024-01-20,BUY,DOT,,Binance,Binance Spot,100,6.8,USDT,0.68,USDT,DOT position
